id,@timestamp,bytes_in,client.bytes,destination.ip,dns.question.name,dns.response_code,dns.type,network.bytes,source.ip,status,client.port,destination.port,dns.flags.authentic_data,dns.id,dns.answers.data
217,2021-11-17T15:06:21.846Z,46.0,46.0,8.8.8.8,www.eltribuno.com,NOERROR,answer,307,192.168.57.253,OK,61070,53,False,36097,"[www.eltribuno.com.herokudns.com"";""3.220.57.224"";""52.20.78.240"";""54.91.59.199"";""3.232.242.170"";""1AApekDmK2RPgiwmHiQ9CWl7dgJscjd2W4tOEREpEYmML/3L/VLNH8ms0Ztx9AwCYIfqy6BYCHyNuWCob9vo1g==""]"""
218,2021-11-17T15:06:21.844Z,35.0,35.0,192.168.57.253,www.eltribuno.com,NOERROR,answer,176,10.3.228.126,OK,50312,53,False,32977,"[www.eltribuno.com.herokudns.com"";""3.220.57.224"";""52.20.78.240"";""54.91.59.199"";""3.232.242.170""]"""
219,2021-11-17T15:06:21.818Z,51.0,51.0,8.8.8.8,az779572.vo.msecnd.net,NOERROR,answer,146,192.168.57.253,OK,62048,53,False,5100,"[cs9.wpc.v0cdn.net"";""152.199.55.200""]"""
220,2021-11-17T15:06:21.817Z,40.0,40.0,192.168.57.253,az779572.vo.msecnd.net,NOERROR,answer,124,192.168.168.148,OK,63334,53,False,56887,"[cs9.wpc.v0cdn.net"";""152.199.55.200""]"""
221,2021-11-17T15:06:21.805Z,44.0,44.0,8.8.8.8,adapter.aivo.co,NOERROR,answer,152,192.168.57.253,OK,60349,53,False,25284,"[108.156.83.62"";""108.156.83.114"";""108.156.83.75"";""108.156.83.13""]"""
222,2021-11-17T15:06:21.804Z,33.0,33.0,192.168.57.253,adapter.aivo.co,NOERROR,answer,130,192.168.192.66,OK,51844,53,False,17169,"[108.156.83.62"";""108.156.83.114"";""108.156.83.75"";""108.156.83.13""]"""
223,2021-11-17T15:06:21.780Z,57.0,57.0,8.8.8.8,prod.appnexus.map.fastly.net,NOERROR,answer,178,192.168.57.253,OK,61749,53,False,43284,"[151.101.1.108"";""151.101.65.108"";""151.101.129.108"";""151.101.193.108""]"""
224,2021-11-17T15:06:21.779Z,32.0,32.0,192.168.57.253,acdn.adnxs.com,NOERROR,answer,170,10.3.228.126,OK,56819,53,False,19951,"[prod.appnexus.map.fastly.net"";""151.101.1.108"";""151.101.65.108"";""151.101.129.108"";""151.101.193.108""]"""
225,2021-11-17T15:06:21.769Z,53.0,53.0,8.8.8.8,t.wayfair.map.fastly.net,NOERROR,answer,170,192.168.57.253,OK,60376,53,False,30746,"[151.101.1.253"";""151.101.65.253"";""151.101.129.253"";""151.101.193.253""]"""
226,2021-11-17T15:06:21.768Z,31.0,31.0,192.168.57.253,t.wayfair.com,NOERROR,answer,164,10.3.228.126,OK,49236,53,False,53974,"[t.wayfair.map.fastly.net"";""151.101.1.253"";""151.101.65.253"";""151.101.129.253"";""151.101.193.253""]"""
